,DSS_NAME,bus1,bus2,GROUP_LV
0,LV1FMAR1,BUSLVMAR4,BUSLVMAR5,2
1,LV1FMAR2,BUSLVMAR6,BUSLVMAR4,2
2,LV1FMAR3,BUSLVMAR7,BUSLVMAR6,2
3,LV1FMAR4,BUSLVMAR8,BUSLVMAR7,2
4,LV1FMAR5,BUSLVMAR17,BUSLVMAR8,2
5,LV1FMAR6,BUSLVMAR9,BUSLVMAR10,1
6,LV1FMAR7,BUSLVMAR10,BUSLVMAR11,1
7,LV1FMAR8,BUSLVMAR11,BUSLVMAR14,1
8,LV1FMAR9,BUSLVMAR12,BUSLVMAR13,1
9,LV1FMAR10,BUSLVMAR21,BUSLVMAR12,1
10,LV1FMAR11,BUSLVMAR14,BUSLVMAR15,1
11,LV1FMAR12,BUSLVMAR15,BUSLVMAR16,1
12,LV1FMAR13,BUSLVMAR18,BUSLVMAR16,1
13,LV1FMAR14,BUSLVMAR22,BUSLVMAR17,2
14,LV1FMAR15,BUSLVMAR19,BUSLVMAR18,1
15,LV1FMAR16,BUSLVMAR20,BUSLVMAR19,1
16,LV1FMAR17,BUSLVMAR1,BUSLVMAR20,1
17,LV1FMAR18,BUSLVMAR20,BUSLVMAR21,1
18,LV1FMAR19,BUSLVMAR21,BUSLVMAR23,1
19,LV1FMAR20,BUSLVMAR29,BUSLVMAR22,2
20,LV1FMAR21,BUSLVMAR23,BUSLVMAR24,1
21,LV1FMAR22,BUSLVMAR24,BUSLVMAR25,1
22,LV1FMAR23,BUSLVMAR25,BUSLVMAR26,1
23,LV1FMAR24,BUSLVMAR26,BUSLVMAR27,1
24,LV1FMAR25,BUSLVMAR27,BUSLVMAR28,1
25,LV1FMAR26,BUSLVMAR28,BUSLVMAR30,1
26,LV1FMAR27,BUSLVMAR34,BUSLVMAR29,2
27,LV1FMAR28,BUSLVMAR30,BUSLVMAR31,1
28,LV1FMAR29,BUSLVMAR32,BUSLVMAR33,2
29,LV1FMAR30,BUSLVMAR34,BUSLVMAR32,2
30,LV1FMAR31,BUSLVMAR35,BUSLVMAR34,2
31,LV1FMAR32,BUSLVMAR36,BUSLVMAR35,2
32,LV1FMAR33,BUSLVMAR37,BUSLVMAR36,2
33,LV1FMAR34,BUSLVMAR38,BUSLVMAR37,2
34,LV1FMAR35,BUSLVMAR2,BUSLVMAR37,2
35,LV1FMAR36,BUSLVMAR39,BUSLVMAR38,2
36,LV1FMAR37,BUSLVMAR40,BUSLVMAR39,2
37,LV1FMAR38,BUSLVMAR41,BUSLVMAR40,2
38,LV1FMAR39,BUSLVMAR42,BUSLVMAR41,2
39,LV1FMAR40,BUSLVMAR43,BUSLVMAR42,2
40,LV1FMAR41,BUSLVMAR44,BUSLVMAR43,2
41,LV1FMAR42,BUSLVMAR43,BUSLVMAR46,2
42,LV1FMAR43,BUSLVMAR45,BUSLVMAR44,2
43,LV1FMAR44,BUSLVMAR46,BUSLVMAR52,2
44,LV1FMAR45,BUSLVMAR47,BUSLVMAR48,2
45,LV1FMAR46,BUSLVMAR50,BUSLVMAR47,2
46,LV1FMAR47,BUSLVMAR48,BUSLVMAR49,2
47,LV1FMAR48,BUSLVMAR51,BUSLVMAR50,2
48,LV1FMAR49,BUSLVMAR53,BUSLVMAR51,2
49,LV1FMAR50,BUSLVMAR52,BUSLVMAR56,2
50,LV1FMAR51,BUSLVMAR54,BUSLVMAR53,2
51,LV1FMAR52,BUSLVMAR55,BUSLVMAR54,2
52,LV1FMAR53,BUSLVMAR56,BUSLVMAR55,2
53,LV1FMAR54,BUSLVMAR56,BUSLVMAR57,2
54,LV1FMAR55,BUSLVMAR57,BUSLVMAR58,2
55,LV1FMAR56,BUSLVMAR58,BUSLVMAR59,2
56,LV1FMAR57,BUSLVMAR59,BUSLVMAR60,2
57,LV1FMAR58,BUSLVMAR60,BUSLVMAR61,2
58,LV1FMAR59,BUSLVMAR61,BUSLVMAR62,2
59,LV1FMAR60,BUSLVMAR62,BUSLVMAR63,2
60,LV1FMAR61,BUSLVMAR63,BUSLVMAR64,2
61,LV1FMAR62,BUSLVMAR65,BUSLVMAR66,3
62,LV1FMAR63,BUSLVMAR67,BUSLVMAR65,3
63,LV1FMAR64,BUSLVMAR68,BUSLVMAR67,3
64,LV1FMAR65,BUSLVMAR69,BUSLVMAR68,3
65,LV1FMAR66,BUSLVMAR70,BUSLVMAR69,3
66,LV1FMAR67,BUSLVMAR71,BUSLVMAR70,3
67,LV1FMAR68,BUSLVMAR72,BUSLVMAR71,3
68,LV1FMAR69,BUSLVMAR73,BUSLVMAR72,3
69,LV1FMAR70,BUSLVMAR74,BUSLVMAR73,3
70,LV1FMAR71,BUSLVMAR75,BUSLVMAR74,3
71,LV1FMAR72,BUSLVMAR76,BUSLVMAR75,3
72,LV1FMAR73,BUSLVMAR77,BUSLVMAR76,3
73,LV1FMAR74,BUSLVMAR78,BUSLVMAR77,3
74,LV1FMAR75,BUSLVMAR82,BUSLVMAR78,3
75,LV1FMAR76,BUSLVMAR79,BUSLVMAR80,3
76,LV1FMAR77,BUSLVMAR81,BUSLVMAR79,3
77,LV1FMAR78,BUSLVMAR83,BUSLVMAR81,3
78,LV1FMAR79,BUSLVMAR91,BUSLVMAR82,3
79,LV1FMAR80,BUSLVMAR84,BUSLVMAR83,3
80,LV1FMAR81,BUSLVMAR85,BUSLVMAR84,3
