,DSS_NAME,KWH,BUS_BT,X,Y,EUCLID_DISTANCE,SECTOR,GROUP_LV
0,n_1FMAR1,169.99,BUSLVMAR158,495804.874606952,1099257.19299931,83.47447945658232,R,1
1,n_1FMAR2,0.0,BUSLVMAR154,495808.321198954,1099255.07107931,87.19722462873355,R,1
2,n_1FMAR3,0.0,BUSLVMAR145,495792.21111894,1099236.22019929,77.20257119192179,R,1
3,n_1FMAR4,222.21,BUSLVMAR183,495616.579694759,1099299.35978336,109.96692311623121,R,1
4,n_1FMAR5,3389.27,BUSLVMAR147,495775.206830923,1099239.0607753,60.7600369133057,C,1
5,n_1FMAR6,16.87,BUSLVMAR149,495682.719022829,1099248.60848731,44.33891004405787,R,1
6,n_1FMAR7,3.02,BUSLVMAR170,495646.39582279,1099259.97898332,76.31982396677566,R,1
7,n_1FMAR8,64.35,BUSLVMAR159,495804.087214954,1099257.59651932,82.6392318794622,R,1
8,n_1FMAR9,163.52,BUSLVMAR150,495764.265582912,1099241.7103753,50.012985137370485,C,1
9,n_1FMAR10,34.88,BUSLVMAR166,495741.157422889,1099267.88170333,18.971103453654713,C,1
10,n_1FMAR11,60.84,BUSLVMAR172,495651.004910797,1099260.15011932,71.72262642963763,R,1
11,n_1FMAR12,3863.82,BUSLVMAR180,495670.732078817,1099284.67479134,53.87537550404726,C,1
12,n_1FMAR13,159.0,BUSLVMAR146,495797.012718946,1099234.75031129,82.17914825912665,R,1
13,n_1FMAR14,135.35,BUSLVMAR182,495615.497710761,1099278.84720734,107.18403369845146,R,1
14,n_1FMAR15,162.97,BUSLVMAR177,495624.673006768,1099271.55197533,97.57384740369663,R,1
15,n_1FMAR16,146.38,BUSLVMAR178,495626.25188677,1099270.89507933,95.97884947194886,C,1
16,n_1FMAR17,82.81,BUSLVMAR153,495809.213614959,1099254.59747931,88.15358324041757,R,1
17,n_1FMAR18,0.0,BUSLVMAR164,495726.051374871,1099251.99587931,17.212098838006046,R,1
18,n_1FMAR19,185.77,BUSLVMAR152,495790.762670938,1099254.05629531,70.11725716196742,R,1
19,n_1FMAR20,129.76,BUSLVMAR179,495628.229678772,1099270.68631133,93.9970703048221,R,1
20,n_1FMAR21,150.4,BUSLVMAR148,495787.290606935,1099236.48880729,72.65069243306115,R,1
21,n_1FMAR22,134.2,BUSLVMAR171,495647.837486792,1099259.60931932,74.93225680856075,R,1
22,n_1FMAR23,228.03,BUSLVMAR169,495644.658926789,1099262.15191132,77.8305125462401,R,1
23,n_1FMAR24,109.51,BUSLVMAR168,495644.565486789,1099265.36042332,77.71676190798878,C,1
24,n_1FMAR25,0.0,BUSLVMAR176,495623.541870769,1099272.98288733,98.75517215186798,C,1
25,n_1FMAR26,139.3,BUSLVMAR163,495801.517870951,1099258.81667932,79.93311444474402,R,1
26,n_1FMAR27,7.17,BUSLVMAR161,495803.229870953,1099258.06999132,81.72649266480762,R,1
27,n_1FMAR28,3.17,BUSLVMAR157,495805.696878955,1099256.70199132,84.35773802427123,R,1
28,n_1FMAR29,6.52,BUSLVMAR155,495806.571694955,1099256.17591131,85.2997477808101,R,1
29,n_1FMAR30,288.12,BUSLVMAR165,495765.779630914,1099261.35779932,44.19885039091634,R,1
30,n_1FMAR31,5.55,BUSLVMAR160,495776.922670923,1099257.99511132,55.76685239454975,R,1
31,n_1FMAR32,17.16,BUSLVMAR173,495652.764398798,1099262.53898332,69.72215817942228,R,1
32,n_1FMAR33,105.72,BUSLVMAR162,495802.31998295,1099258.49111132,80.76984079700915,R,1
33,n_1FMAR34,264.27,BUSLVMAR141,499216.968178447,1099847.68861592,102.15481531769913,R,3
34,n_1FMAR35,143.92,BUSLVMAR132,499330.698418565,1099786.04618386,29.168967183788475,R,3
35,n_1FMAR36,139.12,BUSLVMAR122,499297.65413053,1099778.38429585,13.333385325282999,R,3
36,n_1FMAR37,182.87,BUSLVMAR131,499356.007602591,1099784.43280786,54.45161883959889,R,3
37,n_1FMAR38,3.36,BUSLVMAR104,499401.887474637,1099737.73271181,113.245958068017,R,3
38,n_1FMAR39,108.11,BUSLVMAR108,499419.259186655,1099748.64842382,124.71803250008496,R,3
39,n_1FMAR40,206.07,BUSLVMAR134,499321.177906554,1099786.93552786,19.64987891264563,R,3
40,n_1FMAR41,61.38,BUSLVMAR114,499345.22091458,1099758.13661583,54.33568783041383,R,3
41,n_1FMAR42,111.29,BUSLVMAR128,499372.420786608,1099781.54288785,71.09916414526404,R,3
42,n_1FMAR43,75.35,BUSLVMAR138,499240.79992247,1099817.08087189,66.48134574738098,R,3
43,n_1FMAR44,295.56,BUSLVMAR123,499415.033202647,1099778.75210385,113.74104055044792,R,3
44,n_1FMAR45,125.8,BUSLVMAR120,499446.170802683,1099776.63632785,144.9307585280265,R,3
45,n_1FMAR46,377.2,BUSLVMAR117,499301.193330534,1099768.74058384,22.27769766364475,R,3
46,n_1FMAR47,237.9,BUSLVMAR139,499265.270002496,1099821.11152789,47.45638619463413,R,3
