hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 900.00000, 340.182, 108.304, 354.689, 113.428, 343.559, 115.429, 0, 0
0, 1800.00000, 339.971, 108.399, 353.637, 113.275, 343.116, 115.116, 0, 0
0, 2700.00000, 340.324, 108.119, 355.352, 113.798, 343.296, 115.568, 0, 0
1, 0.00000, 340.272, 108.125, 355.135, 113.739, 343.182, 115.493, 0, 0
1, 900.00000, 340.02, 108.249, 353.9, 113.51, 342.728, 115.126, 0, 0
1, 1800.00000, 339.782, 108.471, 352.728, 113.09, 342.743, 114.824, 0, 0
1, 2700.00000, 339.997, 108.334, 353.788, 113.329, 343.013, 115.117, 0, 0
2, 0.00000, 339.559, 108.611, 351.69, 112.756, 342.561, 114.524, 0, 0
2, 900.00000, 339.277, 108.844, 350.286, 112.363, 342.405, 114.161, 0, 0
2, 1800.00000, 339.681, 108.511, 352.234, 112.984, 342.549, 114.659, 0, 0
2, 2700.00000, 339.949, 108.339, 353.521, 113.332, 342.824, 115.019, 0, 0
3, 0.00000, 339.819, 108.398, 352.895, 113.225, 342.573, 114.838, 0, 0
3, 900.00000, 339.574, 108.58, 351.728, 112.83, 342.456, 114.514, 0, 0
3, 1800.00000, 339.625, 108.574, 351.969, 112.859, 342.608, 114.597, 0, 0
3, 2700.00000, 339.309, 108.838, 350.389, 112.435, 342.423, 114.196, 0, 0
4, 0.00000, 340.108, 108.246, 354.258, 113.587, 342.955, 115.248, 0, 0
4, 900.00000, 340.215, 108.331, 354.74, 113.484, 343.651, 115.456, 0, 0
4, 1800.00000, 340.401, 108.243, 355.674, 113.67, 343.99, 115.758, 0, 0
4, 2700.00000, 341.133, 107.823, 359.153, 114.666, 344.811, 116.806, 0, 0
5, 0.00000, 341.558, 107.805, 361.216, 114.78, 346.291, 117.533, 0, 0
5, 900.00000, 342.421, 107.134, 365.414, 116.116, 346.713, 118.685, 0, 0
5, 1800.00000, 343.61, 106.826, 370.989, 117.076, 349.539, 120.514, 0, 0
5, 2700.00000, 342.522, 107.894, 365.407, 115.251, 349.55, 119.048, 0, 0
6, 0.00000, 343.108, 106.884, 368.718, 116.66, 348.213, 119.707, 0, 0
6, 900.00000, 343.764, 107.491, 371.142, 116.692, 351.868, 120.985, 0, 0
6, 1800.00000, 343.709, 107.417, 370.913, 116.743, 351.44, 120.851, 0, 0
6, 2700.00000, 343.276, 106.788, 369.388, 117.1, 348.155, 119.943, 0, 0
7, 0.00000, 342.67, 107.041, 366.571, 116.378, 347.174, 119.049, 0, 0
7, 900.00000, 342.265, 106.948, 364.95, 116.041, 345.854, 118.385, 0, 0
7, 1800.00000, 342.556, 106.796, 366.295, 116.443, 346.194, 118.794, 0, 0
7, 2700.00000, 341.769, 107.723, 362.317, 115.002, 346.731, 117.94, 0, 0
8, 0.00000, 342.109, 107.44, 363.922, 115.599, 346.766, 118.362, 0, 0
8, 900.00000, 342.686, 107.002, 366.664, 116.488, 347.05, 119.088, 0, 0
8, 1800.00000, 342.479, 107.201, 365.702, 116.055, 347.165, 118.85, 0, 0
8, 2700.00000, 342.567, 107.228, 366.069, 116.085, 347.514, 118.992, 0, 0
9, 0.00000, 342.924, 106.874, 367.79, 116.768, 347.373, 119.415, 0, 0
9, 900.00000, 343.24, 106.563, 369.485, 117.128, 347.55, 119.818, 0, 0
9, 1800.00000, 343.111, 106.681, 368.887, 116.867, 347.602, 119.666, 0, 0
9, 2700.00000, 343.667, 106.544, 371.376, 117.537, 348.689, 120.536, 0, 0
10, 0.00000, 343.203, 106.854, 369.272, 116.732, 348.482, 119.937, 0, 0
10, 900.00000, 343.572, 107.36, 370.678, 116.479, 351.217, 120.787, 0, 0
10, 1800.00000, 344.013, 106.672, 373.102, 117.489, 350.404, 121.3, 0, 0
10, 2700.00000, 343.679, 106.784, 371.428, 117.185, 349.652, 120.71, 0, 0
11, 0.00000, 344.255, 106.476, 374.049, 118.047, 350.228, 121.504, 0, 0
11, 900.00000, 344.122, 106.383, 373.616, 117.895, 349.722, 121.264, 0, 0
11, 1800.00000, 344.316, 106.256, 374.52, 118.196, 349.855, 121.523, 0, 0
11, 2700.00000, 344.342, 106.248, 374.707, 118.143, 350.013, 121.581, 0, 0
12, 0.00000, 344.185, 106.379, 373.911, 117.926, 349.918, 121.367, 0, 0
12, 900.00000, 343.421, 106.505, 370.226, 117.489, 347.713, 120.096, 0, 0
12, 1800.00000, 342.961, 106.688, 368.097, 116.944, 346.949, 119.415, 0, 0
12, 2700.00000, 343.02, 106.666, 368.317, 117.068, 346.976, 119.484, 0, 0
13, 0.00000, 342.554, 106.964, 366.146, 116.347, 346.63, 118.858, 0, 0
13, 900.00000, 343.107, 106.953, 368.793, 116.561, 348.513, 119.821, 0, 0
13, 1800.00000, 342.864, 107.104, 367.641, 116.217, 348.281, 119.484, 0, 0
13, 2700.00000, 343.045, 106.987, 368.577, 116.463, 348.488, 119.791, 0, 0
14, 0.00000, 343.175, 106.887, 369.137, 116.735, 348.458, 119.939, 0, 0
14, 900.00000, 342.987, 107.066, 368.128, 116.47, 348.381, 119.664, 0, 0
14, 1800.00000, 342.645, 107.234, 366.564, 115.985, 347.971, 119.181, 0, 0
14, 2700.00000, 342.216, 107.492, 364.307, 115.655, 347.194, 118.522, 0, 0
15, 0.00000, 342.522, 107.172, 365.813, 116.239, 347.048, 118.886, 0, 0
15, 900.00000, 342.024, 107.597, 363.503, 115.31, 347.092, 118.293, 0, 0
15, 1800.00000, 342.316, 107.276, 364.912, 115.946, 346.83, 118.633, 0, 0
15, 2700.00000, 342.17, 107.384, 364.169, 115.645, 346.791, 118.363, 0, 0
16, 0.00000, 342.406, 107.191, 365.306, 116.051, 346.842, 118.678, 0, 0
16, 900.00000, 343.087, 106.812, 368.628, 116.832, 347.803, 119.668, 0, 0
16, 1800.00000, 343.254, 106.658, 369.444, 117.101, 347.817, 119.866, 0, 0
16, 2700.00000, 342.183, 107.447, 364.148, 115.689, 346.923, 118.422, 0, 0
17, 0.00000, 342.459, 107.268, 365.413, 116.139, 347.091, 118.785, 0, 0
17, 900.00000, 342.239, 107.262, 364.591, 115.807, 346.646, 118.463, 0, 0
17, 1800.00000, 342.298, 107.275, 364.888, 115.813, 346.906, 118.59, 0, 0
17, 2700.00000, 343.89, 106.091, 372.652, 118.06, 348.025, 120.701, 0, 0
18, 0.00000, 344.424, 105.869, 375.219, 118.612, 349.005, 121.519, 0, 0
18, 900.00000, 344.5, 106.209, 375.206, 118.579, 350.003, 121.771, 0, 0
18, 1800.00000, 345.292, 105.853, 378.833, 119.645, 351.086, 122.918, 0, 0
18, 2700.00000, 344.915, 106.07, 377.219, 118.982, 350.884, 122.457, 0, 0
19, 0.00000, 345.307, 105.815, 378.99, 119.654, 351.08, 122.964, 0, 0
19, 900.00000, 344.877, 106.449, 376.716, 118.679, 351.813, 122.496, 0, 0
