hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
0, 900.00000, 132753, -0.0261426, 132752, -120.027, 132752, 119.974, 0, 0, 2.68925, -17.686, 2.80512, -137.761, 2.73015, 101.402, 0.0604423, 25.8914
0, 1800.00000, 132753, -0.0261214, 132752, -120.027, 132752, 119.974, 0, 0, 2.68795, -17.7109, 2.79722, -137.788, 2.72623, 101.427, 0.0570882, 25.8595
0, 2700.00000, 132753, -0.0261591, 132751, -120.027, 132752, 119.974, 0, 0, 2.68985, -17.651, 2.81073, -137.784, 2.7286, 101.368, 0.0634152, 27.3503
1, 0.00000, 132753, -0.0261542, 132751, -120.027, 132752, 119.974, 0, 0, 2.68949, -17.6544, 2.80904, -137.786, 2.72761, 101.374, 0.062697, 27.5706
1, 900.00000, 132753, -0.0261287, 132752, -120.027, 132752, 119.974, 0, 0, 2.68796, -17.6855, 2.79965, -137.81, 2.72349, 101.406, 0.0586382, 27.5237
1, 1800.00000, 132753, -0.0261026, 132752, -120.027, 132752, 119.974, 0, 0, 2.68676, -17.7312, 2.79027, -137.804, 2.72287, 101.452, 0.0541497, 26.0117
1, 2700.00000, 132753, -0.026125, 132752, -120.027, 132752, 119.974, 0, 0, 2.68799, -17.6996, 2.79843, -137.789, 2.7255, 101.422, 0.0578129, 26.5707
2, 0.00000, 132753, -0.0260795, 132752, -120.027, 132752, 119.974, 0, 0, 2.68548, -17.7634, 2.78206, -137.803, 2.72085, 101.488, 0.0503904, 25.3959
2, 900.00000, 132753, -0.0260492, 132752, -120.027, 132752, 119.974, 0, 0, 2.684, -17.8129, 2.77108, -137.812, 2.71887, 101.535, 0.0453259, 23.5067
2, 1800.00000, 132753, -0.0260926, 132752, -120.027, 132752, 119.974, 0, 0, 2.68613, -17.7422, 2.78649, -137.811, 2.72109, 101.467, 0.0525788, 26.0831
2, 2700.00000, 132753, -0.0261205, 132752, -120.027, 132752, 119.974, 0, 0, 2.68766, -17.7028, 2.79653, -137.802, 2.72392, 101.427, 0.0571454, 26.7838
3, 0.00000, 132753, -0.0261074, 132752, -120.027, 132752, 119.974, 0, 0, 2.68686, -17.7181, 2.79179, -137.816, 2.72169, 101.442, 0.0550856, 26.7987
3, 900.00000, 132753, -0.0260814, 132752, -120.027, 132752, 119.974, 0, 0, 2.68551, -17.7579, 2.7825, -137.813, 2.72007, 101.484, 0.0507599, 25.7721
3, 1800.00000, 132753, -0.0260863, 132752, -120.027, 132752, 119.974, 0, 0, 2.68587, -17.7545, 2.78429, -137.805, 2.72136, 101.48, 0.0514746, 25.5237
3, 2700.00000, 132753, -0.0260522, 132752, -120.027, 132752, 119.974, 0, 0, 2.68421, -17.8105, 2.77199, -137.818, 2.71908, 101.531, 0.0457864, 23.3997
4, 0.00000, 132753, -0.0261368, 132752, -120.027, 132752, 119.974, 0, 0, 2.68858, -17.6809, 2.8024, -137.805, 2.7254, 101.399, 0.059797, 27.039
4, 900.00000, 132753, -0.0261451, 132752, -120.027, 132752, 119.974, 0, 0, 2.68955, -17.6886, 2.80562, -137.767, 2.73087, 101.403, 0.0607146, 25.3735
4, 1800.00000, 132753, -0.0261638, 132751, -120.027, 132751, 119.974, 0, 0, 2.69068, -17.6661, 2.81275, -137.751, 2.73402, 101.375, 0.0636949, 25.4773
4, 2700.00000, 132753, -0.026239, 132751, -120.028, 132751, 119.974, 0, 0, 2.69498, -17.5666, 2.84001, -137.734, 2.74241, 101.26, 0.0758488, 26.5182
5, 0.00000, 132753, -0.0262784, 132751, -120.028, 132751, 119.974, 0, 0, 2.69799, -17.5435, 2.85507, -137.656, 2.75473, 101.226, 0.0815895, 24.9023
5, 900.00000, 132753, -0.0263704, 132751, -120.028, 132751, 119.974, 0, 0, 2.70267, -17.3998, 2.88827, -137.657, 2.76055, 101.077, 0.0969742, 27.3422
