hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
0, 600.00000, 0.424376, 0.0861987, 1.11066, 0.225328, 2.093, 0.612641
0, 1200.00000, 0.420072, 0.0853246, 1.07712, 0.218547, 1.99433, 0.583653
0, 1800.00000, 0.420281, 0.0853681, 1.07992, 0.219103, 2.02401, 0.592372
0, 2400.00000, 0.393031, 0.0798357, 1.0352, 0.209975, 2.07167, 0.606388
0, 3000.00000, 0.379608, 0.0771065, 0.999797, 0.202819, 1.96229, 0.574262
1, 0.00000, 0.372069, 0.0755718, 0.988542, 0.200559, 1.89216, 0.55367
1, 600.00000, 0.354935, 0.0720917, 0.978006, 0.198388, 1.95215, 0.5713
1, 1200.00000, 0.349562, 0.0709985, 0.936428, 0.189996, 1.78831, 0.523193
1, 1800.00000, 0.345433, 0.0701637, 0.92674, 0.187992, 1.86687, 0.546255
1, 2400.00000, 0.342994, 0.0696807, 0.885514, 0.179543, 2.0222, 0.591872
1, 3000.00000, 0.329007, 0.066846, 0.876039, 0.177529, 2.24148, 0.656325
2, 0.00000, 0.320862, 0.0651797, 0.907202, 0.183917, 2.10937, 0.617504
2, 600.00000, 0.321097, 0.0652192, 0.875374, 0.177573, 1.78486, 0.52219
2, 1200.00000, 0.308684, 0.0626905, 0.864999, 0.175527, 1.6193, 0.473617
2, 1800.00000, 0.309833, 0.0629315, 0.845369, 0.171485, 1.7427, 0.509821
2, 2400.00000, 0.317902, 0.0645736, 0.852073, 0.172827, 1.8016, 0.527103
2, 3000.00000, 0.301677, 0.061272, 0.929007, 0.18839, 2.01521, 0.589858
3, 0.00000, 0.29973, 0.0608756, 0.893358, 0.181196, 1.87416, 0.548425
3, 600.00000, 0.301604, 0.0612554, 0.876798, 0.177865, 1.77906, 0.520502
3, 1200.00000, 0.299779, 0.0608743, 0.91597, 0.185889, 1.64739, 0.481868
3, 1800.00000, 0.302844, 0.061475, 1.05592, 0.214434, 1.55542, 0.454907
3, 2400.00000, 0.326005, 0.066184, 1.06819, 0.216887, 1.65673, 0.484613
3, 3000.00000, 0.32295, 0.0655862, 0.966219, 0.196025, 1.86705, 0.546332
4, 0.00000, 0.355834, 0.0722851, 0.907435, 0.184037, 1.93376, 0.565887
4, 600.00000, 0.369677, 0.0751047, 0.939387, 0.190452, 2.13681, 0.625532
4, 1200.00000, 0.389203, 0.0790653, 0.994298, 0.201641, 2.0951, 0.613268
4, 1800.00000, 0.393313, 0.0798929, 1.01726, 0.206353, 2.00612, 0.587129
4, 2400.00000, 0.377001, 0.0765651, 1.07532, 0.218176, 2.00165, 0.585837
4, 3000.00000, 0.388984, 0.0789955, 1.17862, 0.239087, 2.24453, 0.657223
5, 0.00000, 0.438896, 0.089157, 1.32149, 0.267782, 2.94332, 0.862915
5, 600.00000, 0.608662, 0.123765, 1.42275, 0.28776, 3.95332, 1.16093
5, 1200.00000, 0.739948, 0.150301, 2.07684, 0.421078, 3.83781, 1.12679
5, 1800.00000, 0.801326, 0.162696, 2.28179, 0.463298, 3.50009, 1.02697
5, 2400.00000, 0.802791, 0.162938, 2.50623, 0.508956, 3.75757, 1.1031
5, 3000.00000, 0.932615, 0.189417, 2.67847, 0.54305, 4.75875, 1.39938
6, 0.00000, 0.92053, 0.186973, 2.81176, 0.569521, 5.39078, 1.58717
6, 600.00000, 0.89329, 0.181432, 2.94699, 0.596423, 5.95445, 1.75507
6, 1200.00000, 0.979277, 0.198895, 3.14718, 0.637065, 6.16837, 1.81873
6, 1800.00000, 0.972457, 0.197844, 2.63631, 0.531624, 7.12029, 2.10276
6, 2400.00000, 1.07311, 0.218504, 2.7812, 0.559502, 8.40589, 2.48803
6, 3000.00000, 1.05285, 0.214143, 2.94956, 0.595115, 7.33201, 2.16615
7, 0.00000, 1.06353, 0.216383, 2.64216, 0.533332, 6.68544, 1.97257
7, 600.00000, 1.01515, 0.206441, 2.73961, 0.553357, 6.53881, 1.92896
7, 1200.00000, 1.08108, 0.219773, 2.97079, 0.600644, 6.44687, 1.90147
7, 1800.00000, 0.77731, 0.212928, 2.48298, 0.556056, 6.5776, 2.01992
7, 2400.00000, 0.810636, 0.219712, 2.47776, 0.555185, 6.40565, 1.9685
7, 3000.00000, 0.803423, 0.218148, 2.63119, 0.586989, 5.93211, 1.82737
8, 0.00000, 0.794215, 0.21638, 2.32509, 0.524609, 5.94691, 1.83165
8, 600.00000, 0.828762, 0.223287, 2.65669, 0.592418, 5.74384, 1.77123
8, 1200.00000, 0.851071, 0.227783, 2.77682, 0.61703, 5.68042, 1.75235
8, 1800.00000, 0.809293, 0.219287, 2.67627, 0.5968, 5.42678, 1.67692
8, 2400.00000, 0.715843, 0.224736, 2.65024, 0.617326, 4.36239, 1.39616
8, 3000.00000, 0.679068, 0.217336, 2.35758, 0.557575, 4.27004, 1.36875
9, 0.00000, 0.644242, 0.210184, 2.65818, 0.618606, 4.65045, 1.48169
9, 600.00000, 0.632402, 0.207806, 2.70868, 0.627878, 5.52251, 1.74086
9, 1200.00000, 0.680478, 0.217601, 2.80137, 0.645954, 6.20672, 1.94469
9, 1800.00000, 0.461147, 0.224462, 2.60658, 0.658611, 5.49321, 1.8058
9, 2400.00000, 0.404361, 0.212936, 2.53531, 0.643295, 6.17147, 2.00806
9, 3000.00000, 0.494136, 0.2312, 2.50971, 0.63808, 6.17086, 2.00766
10, 0.00000, 0.48243, 0.228851, 2.30267, 0.596674, 5.45184, 1.79333
10, 600.00000, 0.458714, 0.22399, 2.44893, 0.627379, 4.6449, 1.5536
10, 1200.00000, 0.463552, 0.224976, 2.43737, 0.625141, 4.53533, 1.52106
10, 1800.00000, 0.592916, 0.251297, 2.47021, 0.630908, 5.39177, 1.77523
10, 2400.00000, 0.260423, 0.260743, 2.05959, 0.625151, 4.50867, 1.6223
10, 3000.00000, 0.246668, 0.257959, 2.38845, 0.693053, 3.78559, 1.4081
11, 0.00000, 0.273845, 0.263512, 2.07172, 0.628362, 3.72159, 1.38904
11, 600.00000, 0.304818, 0.269782, 2.07366, 0.628247, 4.26834, 1.55092
11, 1200.00000, 0.36173, 0.281276, 2.27399, 0.667682, 5.70349, 1.97742
11, 1800.00000, 0.241597, 0.278683, 2.16405, 0.667897, 4.90277, 1.77008
11, 2400.00000, 0.245376, 0.27947, 2.02221, 0.639054, 4.84033, 1.75147
11, 3000.00000, 0.3218, 0.294964, 2.36, 0.707866, 4.90794, 1.77149
12, 0.00000, 0.281479, 0.286712, 2.37871, 0.710393, 6.12351, 2.13363
12, 600.00000, 0.286232, 0.287676, 2.31962, 0.698295, 6.18633, 2.15239
12, 1200.00000, 0.230619, 0.276378, 2.25375, 0.684945, 6.13667, 2.13768
12, 1800.00000, 0.201048, 0.270436, 2.16777, 0.66851, 5.05542, 1.81556
12, 2400.00000, 0.055617, 0.25581, 2.22226, 0.695504, 4.0063, 1.52521
12, 3000.00000, -0.0000219811, 0.244521, 2.03489, 0.657148, 4.11363, 1.55705
13, 0.00000, -0.0209235, 0.240288, 1.82138, 0.613749, 3.944, 1.50678
13, 600.00000, -0.0516145, 0.234008, 1.91809, 0.632926, 4.57429, 1.69379
13, 1200.00000, -0.0542678, 0.233444, 1.96686, 0.64263, 4.83863, 1.77235
13, 1800.00000, -0.145541, 0.215063, 1.99735, 0.649889, 3.66894, 1.42556
13, 2400.00000, -0.239953, 0.195965, 1.65943, 0.581341, 3.16964, 1.27796
13, 3000.00000, -0.238831, 0.196121, 1.65782, 0.580568, 3.76742, 1.45477
14, 0.00000, -0.292137, 0.185349, 1.68915, 0.58709, 3.58509, 1.40089
14, 600.00000, -0.227881, 0.198393, 1.44983, 0.538682, 3.07003, 1.24849
14, 1200.00000, -0.226483, 0.198682, 1.32589, 0.513539, 2.89996, 1.19825
14, 1800.00000, -0.284527, 0.186895, 1.41552, 0.531595, 3.22452, 1.29419
14, 2400.00000, -0.299055, 0.187259, 1.27072, 0.505471, 3.20323, 1.29258
14, 3000.00000, -0.302935, 0.186449, 1.22923, 0.496958, 3.34115, 1.33334
15, 0.00000, -0.294728, 0.188128, 1.14242, 0.479437, 3.09831, 1.26156
15, 600.00000, -0.287518, 0.189619, 1.28424, 0.508312, 3.04214, 1.24498
15, 1200.00000, -0.268677, 0.193502, 1.37625, 0.527293, 2.63278, 1.12415
15, 1800.00000, -0.248142, 0.190168, 1.3874, 0.522022, 2.71583, 1.13811
15, 2400.00000, -0.265074, 0.186723, 1.41718, 0.527992, 2.87429, 1.18489
15, 3000.00000, -0.288719, 0.181985, 1.38831, 0.522392, 2.42162, 1.05142
16, 0.00000, -0.284557, 0.182772, 1.34923, 0.514171, 2.84101, 1.17508
