hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
0, 600.00000, 0.424465, 0.0861913, 0, 0
0, 1200.00000, 0.42015, 0.085315, 0, 0
0, 1800.00000, 0.420363, 0.0853584, 0, 0
0, 2400.00000, 0.393129, 0.0798282, 0, 0
0, 3000.00000, 0.379693, 0.0771, 0, 0
1, 0.00000, 0.372145, 0.0755673, 0, 0
1, 600.00000, 0.355022, 0.0720903, 0, 0
1, 1200.00000, 0.34963, 0.0709954, 0, 0
1, 1800.00000, 0.345513, 0.0701594, 0, 0
1, 2400.00000, 0.3431, 0.0696695, 0, 0
1, 3000.00000, 0.329142, 0.0668351, 0, 0
2, 0.00000, 0.320976, 0.065177, 0, 0
2, 600.00000, 0.321171, 0.0652166, 0, 0
2, 1200.00000, 0.308739, 0.0626921, 0, 0
2, 1800.00000, 0.309905, 0.0629288, 0, 0
2, 2400.00000, 0.317981, 0.0645688, 0, 0
2, 3000.00000, 0.301775, 0.0612781, 0, 0
3, 0.00000, 0.299813, 0.0608797, 0, 0
3, 600.00000, 0.301678, 0.0612582, 0, 0
3, 1200.00000, 0.299833, 0.0608837, 0, 0
3, 1800.00000, 0.302875, 0.0615014, 0, 0
3, 2400.00000, 0.326044, 0.0662061, 0, 0
3, 3000.00000, 0.323026, 0.0655933, 0, 0
4, 0.00000, 0.355926, 0.0722738, 0, 0
4, 600.00000, 0.369796, 0.0750902, 0, 0
4, 1200.00000, 0.389309, 0.0790526, 0, 0
4, 1800.00000, 0.393402, 0.0798836, 0, 0
4, 2400.00000, 0.377084, 0.0765701, 0, 0
4, 3000.00000, 0.389092, 0.0790085, 0, 0
5, 0.00000, 0.439108, 0.0891645, 0, 0
5, 600.00000, 0.609111, 0.123684, 0, 0
5, 1200.00000, 0.740245, 0.150314, 0, 0
5, 1800.00000, 0.801452, 0.162742, 0, 0
5, 2400.00000, 0.802948, 0.163046, 0, 0
5, 3000.00000, 0.933038, 0.18946, 0, 0
6, 0.00000, 0.921158, 0.187048, 0, 0
6, 600.00000, 0.894086, 0.181551, 0, 0
6, 1200.00000, 0.980116, 0.199021, 0, 0
6, 1800.00000, 0.973817, 0.197739, 0, 0
6, 2400.00000, 1.07505, 0.218294, 0, 0
6, 3000.00000, 1.05425, 0.214079, 0, 0
7, 0.00000, 1.06476, 0.21621, 0, 0
7, 600.00000, 1.01627, 0.206363, 0, 0
7, 1200.00000, 1.0821, 0.219731, 0, 0
7, 1800.00000, 1.04636, 0.212472, 0, 0
7, 2400.00000, 1.07966, 0.219235, 0, 0
7, 3000.00000, 1.07224, 0.21773, 0, 0
8, 0.00000, 1.06311, 0.215874, 0, 0
8, 600.00000, 1.09752, 0.222862, 0, 0
8, 1200.00000, 1.11978, 0.227382, 0, 0
8, 1800.00000, 1.07793, 0.218884, 0, 0
8, 2400.00000, 1.10213, 0.2238, 0, 0
8, 3000.00000, 1.0654, 0.216339, 0, 0
9, 0.00000, 1.03061, 0.209275, 0, 0
9, 600.00000, 1.01899, 0.206913, 0, 0
9, 1200.00000, 1.06727, 0.216716, 0, 0
9, 1800.00000, 1.09182, 0.221706, 0, 0
9, 2400.00000, 1.03513, 0.210191, 0, 0
9, 3000.00000, 1.12501, 0.228443, 0, 0
10, 0.00000, 1.11318, 0.226042, 0, 0
10, 600.00000, 1.08925, 0.221184, 0, 0
10, 1200.00000, 1.09407, 0.222161, 0, 0
10, 1800.00000, 1.2237, 0.24848, 0, 0
10, 2400.00000, 1.24814, 0.253448, 0, 0
10, 3000.00000, 1.23425, 0.250627, 0, 0
11, 0.00000, 1.26149, 0.256156, 0, 0
11, 600.00000, 1.29256, 0.262464, 0, 0
11, 1200.00000, 1.34972, 0.274068, 0, 0
11, 1800.00000, 1.32883, 0.269832, 0, 0
11, 2400.00000, 1.33264, 0.270603, 0, 0
11, 3000.00000, 1.40908, 0.286126, 0, 0
12, 0.00000, 1.3689, 0.277962, 0, 0
12, 600.00000, 1.37368, 0.278936, 0, 0
12, 1200.00000, 1.31798, 0.267628, 0, 0
12, 1800.00000, 1.28826, 0.261595, 0, 0
12, 2400.00000, 1.20981, 0.245665, 0, 0
12, 3000.00000, 1.15415, 0.23436, 0, 0
13, 0.00000, 1.13324, 0.230115, 0, 0
13, 600.00000, 1.10252, 0.223874, 0, 0
13, 1200.00000, 1.09986, 0.223335, 0, 0
13, 1800.00000, 1.00847, 0.20478, 0, 0
13, 2400.00000, 0.913989, 0.185593, 0, 0
13, 3000.00000, 0.915075, 0.185813, 0, 0
