hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2
0, 600.00000, 138.299, -120.027, 0, 0, 8.18604, -131.505, 8.18604, 48.4951
0, 1200.00000, 138.306, -120.027, 0, 0, 7.9388, -131.505, 7.9388, 48.4949
0, 1800.00000, 138.305, -120.026, 0, 0, 7.95944, -131.505, 7.95944, 48.4954
0, 2400.00000, 138.309, -120.022, 0, 0, 7.62965, -131.5, 7.62965, 48.4997
0, 3000.00000, 138.316, -120.022, 0, 0, 7.36869, -131.501, 7.36869, 48.4994
1, 0.00000, 138.318, -120.023, 0, 0, 7.28575, -131.502, 7.28575, 48.4984
1, 600.00000, 138.318, -120.021, 0, 0, 7.20803, -131.499, 7.20803, 48.5006
1, 1200.00000, 138.327, -120.022, 0, 0, 6.90158, -131.501, 6.90158, 48.4994
1, 1800.00000, 138.327, -120.02, 0, 0, 6.83011, -131.498, 6.83011, 48.502
1, 2400.00000, 138.331, -120.013, 0, 0, 6.52608, -131.491, 6.52608, 48.5085
1, 3000.00000, 138.328, -120.007, 0, 0, 6.4561, -131.485, 6.4561, 48.5146
2, 0.00000, 138.324, -120.012, 0, 0, 6.68591, -131.491, 6.68591, 48.5093
2, 600.00000, 138.334, -120.018, 0, 0, 6.45145, -131.497, 6.45145, 48.5035
2, 1200.00000, 138.338, -120.022, 0, 0, 6.37505, -131.5, 6.37505, 48.5001
2, 1800.00000, 138.339, -120.017, 0, 0, 6.23027, -131.496, 6.23027, 48.5044
2, 2400.00000, 138.338, -120.016, 0, 0, 6.27966, -131.495, 6.27966, 48.5054
2, 3000.00000, 138.321, -120.016, 0, 0, 6.84673, -131.494, 6.84673, 48.5056
3, 0.00000, 138.329, -120.017, 0, 0, 6.58399, -131.495, 6.58399, 48.5045
3, 600.00000, 138.333, -120.018, 0, 0, 6.46195, -131.497, 6.46195, 48.5033
3, 1200.00000, 138.329, -120.024, 0, 0, 6.75083, -131.503, 6.75083, 48.4974
3, 1800.00000, 138.308, -120.036, 0, 0, 7.78279, -131.514, 7.78279, 48.4858
3, 2400.00000, 138.306, -120.034, 0, 0, 7.87318, -131.513, 7.87318, 48.4874
3, 3000.00000, 138.319, -120.022, 0, 0, 7.12118, -131.501, 7.12118, 48.4993
4, 0.00000, 138.329, -120.017, 0, 0, 6.68774, -131.495, 6.68774, 48.5049
4, 600.00000, 138.322, -120.014, 0, 0, 6.92318, -131.492, 6.92318, 48.5077
4, 1200.00000, 138.315, -120.019, 0, 0, 7.32806, -131.497, 7.32806, 48.503
4, 1800.00000, 138.313, -120.022, 0, 0, 7.49739, -131.501, 7.49739, 48.4993
4, 2400.00000, 138.303, -120.026, 0, 0, 7.92555, -131.505, 7.92555, 48.4953
4, 3000.00000, 138.283, -120.027, 0, 0, 8.68704, -131.506, 8.68704, 48.4943
5, 0.00000, 138.253, -120.02, 0, 0, 9.74001, -131.498, 9.74001, 48.5019
5, 600.00000, 138.232, -120.002, 0, 0, 10.4858, -131.48, 10.4858, 48.5196
5, 1200.00000, 138.138, -120.049, 0, 0, 15.3107, -131.527, 15.3107, 48.473
5, 1800.00000, 138.115, -120.071, 0, 0, 16.8234, -131.549, 16.8234, 48.4507
5, 2400.00000, 138.075, -120.08, 0, 0, 18.4794, -131.558, 18.4794, 48.442
5, 3000.00000, 138.041, -120.067, 0, 0, 19.7489, -131.545, 19.7489, 48.4548
6, 0.00000, 138.009, -120.06, 0, 0, 20.7317, -131.538, 20.7317, 48.4616
6, 600.00000, 137.977, -120.055, 0, 0, 21.7287, -131.533, 21.7287, 48.4666
6, 1200.00000, 137.947, -120.063, 0, 0, 23.2062, -131.542, 23.2062, 48.4584
6, 1800.00000, 138.014, -120.005, 0, 0, 19.4337, -131.484, 19.4337, 48.516
6, 2400.00000, 137.978, -119.983, 0, 0, 20.5006, -131.462, 20.5006, 48.5381
6, 3000.00000, 137.966, -120.021, 0, 0, 21.7451, -131.499, 21.7451, 48.5008
7, 0.00000, 138.026, -120.017, 0, 0, 19.4776, -131.495, 19.4776, 48.505
7, 600.00000, 138.009, -120.027, 0, 0, 20.197, -131.505, 20.197, 48.4949
7, 1200.00000, 137.978, -120.045, 0, 0, 21.9035, -131.523, 21.9035, 48.477
7, 1800.00000, 138.028, -120.006, 0, 0, 20.2845, -131.484, 20.2845, 48.5157
7, 2400.00000, 138.034, -120.01, 0, 0, 20.2462, -131.488, 20.2462, 48.5119
7, 3000.00000, 138.016, -120.032, 0, 0, 21.3796, -131.51, 21.3796, 48.49
