hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 1800.00000, -0.268122, 3.6063E-7, -0.268122, -4.62219E-7, -0.26812, 3.61535E-7, 0, 0
7, 2400.00000, -0.268123, -1.42526E-7, -0.268123, 1.77463E-7, -0.268123, -1.03177E-7, 0, 0
7, 3000.00000, -0.268122, -4.444E-7, -0.268123, 5.67176E-7, -0.268125, -4.33984E-7, 0, 0
8, 0.00000, -0.268123, 1.83407E-7, -0.268123, -1.94226E-7, -0.268122, 1.87781E-7, 0, 0
8, 600.00000, -0.268122, -3.53933E-7, -0.268122, 3.76365E-7, -0.268124, -3.01247E-7, 0, 0
8, 1200.00000, -0.268123, -1.24054E-7, -0.268123, 1.20374E-7, -0.268123, -9.34693E-8, 0, 0
8, 1800.00000, -0.268123, -1.00129E-7, -0.268123, 1.86076E-7, -0.268124, -1.58045E-7, 0, 0
8, 2400.00000, -0.386257, -9.57766E-7, -0.386258, 1.06673E-6, -0.386261, -7.02408E-7, 0, 0
8, 3000.00000, -0.386259, 1.97727E-7, -0.386259, 3.71786E-10, -0.386259, 3.3393E-8, 0, 0
9, 0.00000, -0.386259, 9.05755E-8, -0.386259, -2.91436E-7, -0.386258, 1.06155E-7, 0, 0
9, 600.00000, -0.38626, 9.51952E-7, -0.386259, -1.1369E-6, -0.386255, 4.98948E-7, 0, 0
9, 1200.00000, -0.38626, 7.48041E-7, -0.386259, -9.91717E-7, -0.386256, 3.92634E-7, 0, 0
9, 1800.00000, -0.630892, -1.37076E-6, -0.630895, 1.28353E-6, -0.630898, 1.6992E-9, 0, 0
9, 2400.00000, -0.630902, 2.00896E-6, -0.6309, -1.72404E-6, -0.630896, -3.52299E-7, 0, 0
9, 3000.00000, -0.630901, -1.63252E-7, -0.630901, 1.56026E-10, -0.630901, 1.4154E-7, 0, 0
10, 0.00000, -0.6309, -1.28379E-6, -0.630902, 1.81247E-6, -0.630904, 4.19444E-7, 0, 0
10, 600.00000, -0.630899, -1.84963E-6, -0.630902, 1.52987E-6, -0.630905, 3.05927E-7, 0, 0
10, 1200.00000, -0.630901, -2.09847E-7, -0.630901, 2.19574E-7, -0.630901, 5.3777E-8, 0, 0
10, 1800.00000, -0.630903, 1.5715E-6, -0.6309, -1.98401E-6, -0.630896, -2.58694E-7, 0, 0
10, 2400.00000, -0.989188, -2.36099E-6, -0.989193, 2.44662E-6, -0.989194, 1.48193E-6, 0, 0
10, 3000.00000, -0.989214, -3.71049E-6, -0.989222, 7.14852E-7, -0.98922, 3.27936E-6, 0, 0
11, 0.00000, -0.989219, 5.11113E-7, -0.989216, 1.43346E-6, -0.989216, -2.45346E-8, 0, 0
11, 600.00000, -0.989219, 1.99258E-6, -0.989216, -1.75219E-6, -0.989216, -2.15277E-6, 0, 0
11, 1200.00000, -0.989222, 5.83439E-6, -0.989215, -6.47933E-6, -0.98921, -5.74322E-6, 0, 0
11, 1800.00000, -1.08905, -3.45237E-6, -1.08905, 2.997E-6, -1.08905, 3.65723E-6, 0, 0
11, 2400.00000, -1.08906, 1.22674E-7, -1.08906, 9.5526E-7, -1.08906, 2.50182E-7, 0, 0
11, 3000.00000, -1.08906, -1.45267E-6, -1.08906, -1.81448E-6, -1.08906, 2.66093E-8, 0, 0
12, 0.00000, -1.08906, 7.32923E-6, -1.08906, -5.91763E-6, -1.08905, -6.88083E-6, 0, 0
12, 600.00000, -1.08906, 5.40151E-7, -1.08906, -2.24106E-8, -1.08906, -3.48379E-7, 0, 0
12, 1200.00000, -1.08906, 3.92602E-7, -1.08906, 4.70254E-7, -1.08906, 1.43973E-7, 0, 0
12, 1800.00000, -1.08906, -5.13905E-6, -1.08906, 4.84657E-6, -1.08906, 5.88838E-6, 0, 0
12, 2400.00000, -1.15655, -4.92391E-6, -1.15656, 2.76539E-6, -1.15656, 6.42246E-6, 0, 0
12, 3000.00000, -1.15656, 1.78273E-6, -1.15656, 6.05566E-7, -1.15656, -1.03071E-6, 0, 0
13, 0.00000, -1.15656, 7.9039E-8, -1.15656, 1.88123E-6, -1.15656, 7.89036E-7, 0, 0
13, 600.00000, -1.15656, 3.46525E-6, -1.15656, -3.29161E-6, -1.15656, -4.07725E-6, 0, 0
13, 1200.00000, -1.15656, 1.37255E-6, -1.15656, -1.45221E-6, -1.15656, -1.70225E-6, 0, 0
13, 1800.00000, -1.15656, -5.32415E-6, -1.15657, 3.76329E-6, -1.15656, 7.64414E-6, 0, 0
13, 2400.00000, -1.15656, -3.57611E-7, -1.15656, 3.55493E-6, -1.15656, 2.58105E-6, 0, 0
13, 3000.00000, -1.15656, 3.13265E-6, -1.15656, -2.27586E-6, -1.15656, -3.87568E-6, 0, 0
14, 0.00000, -1.15656, -5.8163E-7, -1.15656, 3.87574E-7, -1.15656, 1.17993E-6, 0, 0
